Epoch,Train Loss
1,0.004716068506240845
2,0.0031297612003982067
3,0.003164698602631688
4,0.0030553184915333986
5,0.0030707581900060177
6,0.0030091628432273865
7,0.0029920795932412148
8,0.0029516813810914755
9,0.002922022482380271
10,0.002924753352999687
11,0.0028926620725542307
12,0.0028954707086086273
13,0.0028754582162946463
14,0.0028613500762730837
15,0.0028530159033834934
16,0.002837764099240303
17,0.002813095925375819
18,0.0028171285521239042
19,0.0028295163065195084
20,0.00278717209585011
21,0.00278903404250741
22,0.0027833133935928345
23,0.002781167160719633
24,0.002773935440927744
25,0.0027685160748660564
26,0.002765270182862878
27,0.002748908242210746
28,0.0027424050495028496
29,0.00274462578818202
30,0.002746932441368699
31,0.0027395854704082012
32,0.002727524144575
33,0.002740903291851282
34,0.002725912956520915
35,0.0027202656492590904
36,0.0027009048499166965
37,0.002716492395848036
38,0.002711406210437417
39,0.0027014713268727064
40,0.0026903997641056776
41,0.002693513873964548
42,0.0026737351436167955
43,0.0026687774807214737
44,0.002662239596247673
45,0.0026589352637529373
46,0.0026614591479301453
47,0.002650558715686202
48,0.00264760572463274
49,0.0026335143484175205
50,0.0026230462826788425
51,0.002609483664855361
52,0.002619053004309535
53,0.0026083101984113455
54,0.002589332638308406
55,0.0025659981183707714
56,0.002579015912488103
57,0.0025588960852473974
58,0.0025450605899095535
59,0.0025336011312901974
60,0.002512140665203333
61,0.002515006810426712
62,0.0024920927826315165
63,0.002485943492501974
64,0.002453017747029662
65,0.0024380439426749945
66,0.0024389191530644894
67,0.0023912834003567696
68,0.002369336551055312
69,0.0023491031024605036
70,0.002299137646332383
71,0.0022808231879025698
72,0.002244615461677313
73,0.002199598355218768
74,0.0021693981252610683
75,0.0021417809184640646
76,0.002094830386340618
77,0.0020604263991117477
78,0.0020006101112812757
79,0.0019571147859096527
80,0.0019256457453593612
81,0.0018816469237208366
82,0.0018007864709943533
83,0.0017633626703172922
84,0.0017161479918286204
85,0.0016703192377462983
86,0.001623892574571073
87,0.0015735081396996975
88,0.0015269858995452523
89,0.001479809870943427
90,0.0014242670731619
91,0.00138538284227252
92,0.0013570284936577082
93,0.0013332214439287782
94,0.0012661742512136698
95,0.001229904475621879
96,0.0012092947727069259
97,0.0011531721102073789
98,0.0011293771676719189
99,0.001100434921681881
100,0.0010465760715305805
